tpma_code,tpma_description_name
AE-AA-001,discharged_no_treatment
AE-AA-002,discharged_no_treatment
AE-AA-003,discharged_no_treatment
AE-AA-004,discharged_no_treatment
AE-AA-005,frequent_attenders
AE-AA-006,frequent_attenders
AE-AA-007,frequent_attenders
AE-AA-008,frequent_attenders
AE-AA-009,left_before_seen
AE-AA-010,left_before_seen
AE-AA-011,left_before_seen
AE-AA-012,left_before_seen
AE-AA-013,low_cost_discharged
AE-AA-014,low_cost_discharged
AE-AA-015,low_cost_discharged
AE-AA-016,low_cost_discharged
IP-AA-001,alcohol_partially_attributable
IP-AA-002,alcohol_partially_attributable
IP-AA-003,alcohol_wholly_attributable
IP-AA-004,ambulatory_care_conditions
IP-AA-005,ambulatory_care_conditions
IP-AA-006,ambulatory_care_conditions
IP-AA-007,cancelled_operations
IP-AA-008,eol_care
IP-AA-009,eol_care
IP-AA-010,evidence_based_interventions
IP-AA-011,evidence_based_interventions
IP-AA-012,evidence_based_interventions
IP-AA-013,evidence_based_interventions
IP-AA-014,evidence_based_interventions
IP-AA-015,evidence_based_interventions
IP-AA-016,falls_related_admissions
IP-AA-017,frail_elderly
IP-AA-018,frail_elderly
IP-AA-019,intentional_self_harm
IP-AA-020,medically_unexplained_related_admissions
IP-AA-021,medicines_related_admissions
IP-AA-022,medicines_related_admissions
IP-AA-023,medicines_related_admissions
IP-AA-024,medicines_related_admissions
IP-AA-025,medicines_related_admissions
IP-AA-026,obesity_related_admissions
IP-AA-027,raid_ae
IP-AA-028,readmission_within_28_days
IP-AA-029,smoking
IP-AA-030,virtual_wards_activity_avoidance_ari
IP-AA-031,virtual_wards_activity_avoidance_heart_failure
IP-AA-032,zero_los_no_procedure
IP-AA-033,zero_los_no_procedure
IP-EF-005,day_procedures
IP-EF-006,day_procedures
IP-EF-007,day_procedures
IP-EF-008,day_procedures
IP-EF-009,emergency_elderly
IP-EF-010,enhanced_recovery
IP-EF-011,enhanced_recovery
IP-EF-012,enhanced_recovery
IP-EF-013,enhanced_recovery
IP-EF-014,enhanced_recovery
IP-EF-015,enhanced_recovery
IP-EF-016,enhanced_recovery
IP-EF-017,enhanced_recovery
IP-EF-018,excess_beddays
IP-EF-019,excess_beddays
IP-EF-020,general_los_reduction
IP-EF-021,general_los_reduction
IP-EF-022,pre-op_los
IP-EF-023,pre-op_los
IP-EF-024,raid_ip
IP-EF-025,stroke_early_supported_discharge
IP-EF-026,virtual_wards_efficiencies_ari
IP-EF-027,virtual_wards_efficiencies_heart_failure
IP-EF-028,same_day_emergency_care
IP-EF-029,same_day_emergency_care
IP-EF-030,same_day_emergency_care
IP-EF-031,same_day_emergency_care
OP-AA-001,consultant_to_consultant_reduction
OP-AA-002,consultant_to_consultant_reduction
OP-AA-003,consultant_to_consultant_reduction
OP-AA-004,consultant_to_consultant_reduction
OP-AA-005,followup_reduction
OP-AA-006,followup_reduction
OP-AA-007,followup_reduction
OP-AA-008,followup_reduction
OP-AA-009,gp_referred_first_attendance_reduction
OP-AA-010,gp_referred_first_attendance_reduction
OP-AA-011,gp_referred_first_attendance_reduction
OP-AA-012,gp_referred_first_attendance_reduction
OP-EF-001,convert_to_tele
OP-EF-002,convert_to_tele
OP-EF-003,convert_to_tele
OP-EF-004,convert_to_tele
